iter	MultiClass
0	1.791057136
1	1.625435686
2	1.53716667
3	1.485643289
4	1.434533549
5	1.401181474
6	1.386596
7	1.374892841
8	1.356467356
9	1.350511637
10	1.333269823
11	1.326255643
12	1.314974899
13	1.305972694
14	1.294685854
15	1.293118027
16	1.286641458
17	1.282554825
18	1.275732254
19	1.269193692
20	1.267262578
21	1.264254548
22	1.259681693
23	1.255545481
24	1.250017325
25	1.247333166
26	1.244580978
27	1.240647289
28	1.237438144
29	1.23187039
30	1.230521304
31	1.226298715
32	1.224026674
33	1.22112628
34	1.220437494
35	1.217452416
36	1.216773799
37	1.21292215
38	1.211122693
39	1.207903509
40	1.205430005
41	1.202844566
42	1.201250762
43	1.198100418
44	1.19645772
45	1.195628492
46	1.192292016
47	1.190661578
48	1.189145938
49	1.187541017
50	1.187008107
51	1.186007793
52	1.18392789
53	1.182544323
54	1.181705833
55	1.180387422
56	1.179565765
57	1.178995472
58	1.178164493
59	1.177828089
60	1.176544062
61	1.175082984
62	1.174851591
63	1.173897482
64	1.173064703
65	1.172187551
66	1.171752429
67	1.171355409
68	1.17067528
69	1.169126798
70	1.16800367
71	1.166698999
72	1.166098276
73	1.165523809
74	1.165167752
75	1.164688942
76	1.164072068
77	1.162987271
78	1.162514214
79	1.162091884
80	1.16166021
81	1.160938841
82	1.160461083
83	1.159899518
84	1.159322755
85	1.158686519
86	1.158096814
87	1.157624295
88	1.156712428
89	1.156375221
90	1.156203873
91	1.155888295
92	1.155511606
93	1.155302643
94	1.155060664
95	1.154391491
96	1.153884588
97	1.153312405
98	1.153114922
99	1.152761192
100	1.152501428
101	1.152175607
102	1.151689213
103	1.151447493
104	1.151130849
105	1.150770315
106	1.150598535
107	1.150202679
108	1.149857132
109	1.149456662
110	1.149253382
111	1.148809615
112	1.148485141
113	1.148054637
114	1.147434396
115	1.147074795
116	1.146619027
117	1.146070246
118	1.145881961
119	1.1457411
120	1.145502358
121	1.14528916
122	1.145084277
123	1.144736703
124	1.144434343
125	1.144223219
126	1.14403172
127	1.143777936
128	1.143646939
129	1.143377345
130	1.143206692
131	1.14277911
132	1.142723881
133	1.142595262
134	1.142293871
135	1.141913531
136	1.141742783
137	1.141590918
138	1.141417383
139	1.141030943
140	1.140775004
141	1.140506843
142	1.140227095
143	1.140119975
144	1.139952982
145	1.13981659
146	1.139688152
147	1.139518211
148	1.139152604
149	1.13900982
150	1.138918716
151	1.138805621
152	1.138698273
153	1.138503062
154	1.138353249
155	1.13824585
156	1.138210827
157	1.138074231
158	1.137799082
159	1.137711525
160	1.137531858
161	1.137456375
162	1.137367904
163	1.137320771
164	1.137247093
165	1.13714689
166	1.137057046
167	1.136966494
168	1.136904684
169	1.136794779
170	1.136522868
171	1.136371178
172	1.136180898
173	1.1360481
174	1.135725681
175	1.13562952
176	1.135388645
177	1.135273363
178	1.135237681
179	1.135134856
180	1.134809929
181	1.134568724
182	1.134468788
183	1.134380411
184	1.134261282
185	1.134178114
186	1.134134563
187	1.133907809
188	1.133850433
189	1.133542988
190	1.133410308
191	1.133361238
192	1.133144011
193	1.133054601
194	1.132964417
195	1.132941398
196	1.132866078
197	1.13262405
198	1.13253639
199	1.132245038
200	1.132229487
201	1.1321704
202	1.131922684
203	1.131863375
204	1.131820393
205	1.131769047
206	1.131632264
207	1.131476823
208	1.131412118
209	1.131327138
210	1.13120831
211	1.131101435
212	1.13099418
213	1.130938637
214	1.130896972
215	1.130699342
216	1.130613877
217	1.130532047
218	1.130440546
219	1.130412872
220	1.130343578
221	1.130201063
222	1.130117796
223	1.130035027
224	1.12986286
225	1.129798213
226	1.129745671
227	1.129651315
228	1.129613583
229	1.129492263
230	1.129445813
231	1.12940878
232	1.129366598
233	1.129337232
234	1.129246558
235	1.129214341
236	1.129189966
237	1.129042151
238	1.128889999
239	1.128861359
240	1.128653423
241	1.128602097
242	1.128504014
243	1.128460203
244	1.128396025
245	1.128340138
246	1.128312072
247	1.128266969
248	1.128216292
249	1.128171519
250	1.128118461
251	1.128029689
252	1.127991689
253	1.127926792
254	1.127878071
255	1.127778132
256	1.12771777
257	1.127671532
258	1.12758592
259	1.127552287
260	1.127517939
261	1.127501221
262	1.127479106
263	1.127431559
264	1.127413045
265	1.127372051
266	1.127338974
267	1.127325856
268	1.127263552
269	1.127235927
270	1.127190166
271	1.127123919
272	1.126916898
273	1.126847386
274	1.12666805
275	1.126655259
276	1.126591581
277	1.126391809
278	1.126351956
279	1.126321875
280	1.126210236
281	1.126166597
282	1.126126293
283	1.126021782
284	1.125986454
285	1.125940506
286	1.125883335
287	1.125791733
288	1.125742926
289	1.125646563
290	1.125609953
291	1.125592897
292	1.125571117
293	1.125527579
294	1.125444056
295	1.12539175
296	1.125350968
297	1.125332113
298	1.125311971
299	1.125266249
