iter	Passed	Remaining
0	0	269
1	1	297
2	2	296
3	3	294
4	5	298
5	6	295
6	6	292
7	7	278
8	8	279
9	9	270
10	10	271
11	11	270
12	12	271
13	13	271
14	14	271
15	15	269
16	16	269
17	17	271
18	18	271
19	19	271
20	20	270
21	21	269
22	22	267
23	23	265
24	23	263
25	24	261
26	25	260
27	26	259
28	27	259
29	28	260
30	29	258
31	30	259
32	31	258
33	32	257
34	33	255
35	34	255
36	35	254
37	36	254
38	37	252
39	38	251
40	39	250
41	40	249
42	41	249
43	42	248
44	43	247
45	44	247
46	45	246
47	46	245
48	47	245
49	48	244
50	49	243
51	50	242
52	51	241
53	52	240
54	53	240
55	55	239
56	56	239
57	57	238
58	58	238
59	59	236
60	60	235
61	61	234
62	61	233
63	63	232
64	64	231
65	64	230
66	65	229
67	66	228
68	68	227
69	69	227
70	70	226
71	71	225
72	72	224
73	73	223
74	74	222
75	75	221
76	76	220
77	77	219
78	78	218
79	79	218
80	80	217
81	81	216
82	82	215
83	83	214
84	84	213
85	85	212
86	86	211
87	87	210
88	88	209
89	89	208
90	90	207
91	91	206
92	92	205
93	93	204
94	94	204
95	95	203
96	96	202
97	97	200
98	98	199
99	99	198
100	100	197
101	101	196
102	102	195
103	103	194
104	104	193
105	105	192
106	106	191
107	107	191
108	108	190
109	109	189
110	110	188
111	111	187
112	112	186
113	113	185
114	114	184
115	115	183
116	116	182
117	117	181
118	118	180
119	119	179
120	120	178
121	121	177
122	122	176
123	123	175
124	124	174
125	125	173
126	126	172
127	127	171
128	128	170
129	129	169
130	130	168
131	131	167
132	132	166
133	133	165
134	134	164
135	135	163
136	136	162
137	137	161
138	138	160
139	139	159
140	140	158
141	141	157
142	142	156
143	143	155
144	144	154
145	145	153
146	146	152
147	147	151
148	148	150
149	149	149
150	150	148
151	151	147
152	152	146
153	153	145
154	154	144
155	155	143
156	156	142
157	157	141
158	158	140
159	159	139
160	160	138
161	161	137
162	162	136
163	163	135
164	164	134
165	165	133
166	166	132
167	167	131
168	168	130
169	170	130
170	171	129
171	172	128
172	173	127
173	174	126
174	175	125
175	176	124
176	177	123
177	178	122
178	179	121
179	180	120
180	181	119
181	183	118
182	184	117
183	185	116
184	186	116
185	187	114
186	188	113
187	189	113
188	190	112
189	191	111
190	192	110
191	193	109
192	194	108
193	196	107
194	197	106
195	198	105
196	199	104
197	200	103
198	201	102
199	202	101
200	203	100
201	204	99
202	205	98
203	207	97
204	208	96
205	210	96
206	211	95
207	213	94
208	214	93
209	215	92
210	216	91
211	217	90
212	218	89
213	220	88
214	225	88
215	226	87
216	228	87
217	229	86
218	230	85
219	231	84
220	232	83
221	233	82
222	235	81
223	236	80
224	237	79
225	238	78
226	239	77
227	240	75
228	241	74
229	242	73
230	243	72
231	244	71
232	245	70
233	246	69
234	247	68
235	248	67
236	249	66
237	250	65
238	251	64
239	252	63
240	253	62
241	254	61
242	255	60
243	256	58
244	258	57
245	259	56
246	260	55
247	261	54
248	262	53
249	263	52
250	264	51
251	265	50
252	266	49
253	267	48
254	268	47
255	270	46
256	271	45
257	272	44
258	273	43
259	274	42
260	275	41
261	276	40
262	277	39
263	278	37
264	279	36
265	280	35
266	281	34
267	283	33
268	284	32
269	285	31
270	286	30
271	288	29
272	289	28
273	290	27
274	290	26
275	292	25
276	293	24
277	294	23
278	295	22
279	296	21
280	297	20
281	298	19
282	299	18
283	300	16
284	302	15
285	303	14
286	304	13
287	306	12
288	307	11
289	308	10
290	310	9
291	312	8
292	313	7
293	315	6
294	317	5
295	318	4
296	319	3
297	321	2
298	325	1
299	326	0
